TimeStamp,h_d,theta_d,v_d,psi_dot_d,theta_hat,theta_dot_hat,v_hat,psi_dot_hat,tau_RW,tau_LW
2334,0.135238,0.011876,-0.00976801,0.0115018,0.020319,-0.210328,0.101291,-0.0421782,-0.00072006,-0.012457
2342,0.135238,0.0118856,-0.00976801,0.0115018,0.0187845,-0.150644,0.0987221,-0.0961875,-0.0145123,-0.011253
2350,0.135238,0.0118898,-0.00732601,0.0115018,0.0180218,0.0168283,0.103461,-0.020575,-0.0329043,0.0254882
2358,0.135238,0.0118916,-0.00732601,0.0115018,0.01827,0.157523,0.112333,0.113677,-0.04237,0.0670777
2365,0.135238,0.0118923,-0.00732601,0.0115018,0.019399,0.188967,0.134922,0.0462938,-0.060761,0.0696797
2374,0.135238,0.0118927,-0.00732601,0.0115018,0.0206571,0.0430741,0.131937,-0.0421791,-0.048058,0.0356655
2382,0.135238,0.0118928,-0.00732601,0.0115018,0.0203212,-0.0956164,0.131815,0.0529806,-0.0131829,0.0228208
2390,0.135317,0.0118614,-0.00976801,0.0115018,0.0190931,-0.231509,0.125,0.103389,0.0178335,0.00326734
2398,0.135317,0.0118515,-0.00976801,0.0115018,0.017272,-0.229113,0.11524,0.016459,0.0112642,-0.0107025
2406,0.135317,0.0118472,-0.00732601,0.0115018,0.0155693,-0.114672,0.112022,0.00308651,-0.00618532,0.00391578
2414,0.135317,0.0118453,-0.00732601,0.0115018,0.0148159,0.101429,0.120287,0.0221181,-0.0403629,0.0432379
2422,0.135317,0.0118446,-0.00732601,0.0115018,0.0156949,0.188834,0.128649,0.0725273,-0.0515977,0.066653
2430,0.135317,0.0118442,-0.00732601,0.0115018,0.0170517,0.216944,0.14391,0.0750986,-0.0603267,0.076097
2437,0.135317,0.0118441,-0.00732601,0.0115018,0.0183628,-0.0122182,0.138367,0.0128592,-0.0302681,0.0306641
2446,0.135317,0.011844,-0.00976801,0.0115018,0.0180624,-0.137583,0.137377,-0.0375492,-0.0150681,0.00317724
2454,0.135317,0.011844,-0.00976801,0.0115018,0.0170761,-0.219118,0.127416,0.0159456,0.00783194,-0.0073622
2462,0.135317,0.011844,-0.00976801,0.0115018,0.0152762,-0.184086,0.115658,0.0786996,0.0137494,0.00161159
2470,0.135317,0.011844,-0.00976801,0.0115018,0.0143713,0.00376831,0.127948,-0.0144025,-0.0293543,0.0233043
2478,0.135317,0.011844,-0.00976801,0.0115018,0.0144391,0.163252,0.132551,0.0246901,-0.0522453,0.0559129
2486,0.135317,0.011844,-0.00976801,0.0115018,0.0157444,0.217877,0.153657,0.0982454,-0.0579134,0.0791317
2494,0.135317,0.011844,-0.00976801,0.0115018,0.0167144,0.0933048,0.146651,0.0540094,-0.0425111,0.05292
2502,0.135317,0.011844,-0.00976801,0.0115018,0.0170849,-0.0736348,0.150997,0.0241758,-0.0193297,0.022191
2509,0.135317,0.011844,-0.00976801,0.0115018,0.016243,-0.22618,0.139558,0.00668675,0.00711688,-0.0088653
2518,0.135238,0.0118754,-0.00976801,0.0115018,0.0144245,-0.235109,0.124043,0.0195462,0.0151695,-0.013939
2526,0.135238,0.0118854,-0.00976801,0.0115018,0.0130572,-0.0813656,0.126078,0.0997887,0.00050267,0.0201186
2534,0.135238,0.0118897,-0.00976801,0.0115018,0.0129871,0.0955682,0.131757,0.0365211,-0.0373345,0.0435645
2542,0.135238,0.0118915,-0.00976801,0.0115018,0.0137332,0.245724,0.150615,-0.0365206,-0.0751013,0.0645647
2550,0.135238,0.0118923,-0.00976801,0.0115018,0.0156451,0.23906,0.164494,0.157398,-0.0560143,0.0912582
2558,0.135238,0.0118927,-0.00976801,0.0115018,0.0169924,-0.0358004,0.153361,0.0581245,-0.0218403,0.0328287
2566,0.135317,0.0118614,-0.00976801,0.0115018,0.0163917,-0.163295,0.161389,0.00823028,-0.00691172,0.00572482
2574,0.135317,0.0118514,-0.00976801,0.0115018,0.014865,-0.280671,0.13934,0.0339488,0.0213874,-0.0168889
2581,0.135317,0.0118472,-0.00976801,0.0115018,0.0125587,-0.216594,0.129497,-0.0159451,0.00956189,-0.0166788
2590,0.135317,0.0118453,-0.00976801,0.0115018,0.0115058,0.0202883,0.142685,0.0822999,-0.019136,0.0359203
2598,0.135317,0.0118445,-0.00976801,0.0115018,0.0118761,0.175909,0.142896,0.0745843,-0.0466076,0.0620535
2606,0.135317,0.0118442,-0.00976801,0.0115018,0.0133022,0.287157,0.169309,-0.0149169,-0.0819754,0.0766616
