TimeStamp,h_d,v_d,psi_dot_d,theta_hat,theta_dot_hat,v_hat,psi_dot_hat,tau_RW,tau_LW
2193,0.148571,0.00122106,0.003663,0.0451479,-0.183934,0.130286,-0.0812007,-0.0736234,0.0532681
2205,0.148571,0.00122106,0.00549451,0.0331974,-0.260079,0.149074,-0.10681,-0.0498591,0.0338822
2217,0.148651,0.00122106,0.00549451,-0.022798,-0.437524,0.16149,-7.201e-05,-0.0391856,0.0178716
2229,0.148651,0.00122106,0.00549451,0.0131889,-0.394094,0.170782,-0.0768237,0.0250555,-0.0271961
2241,0.149683,0.00122106,0.00549451,-0.00440111,-0.363766,0.18772,0.0267099,-0.0128608,-0.00334939
2253,0.149841,0.00122106,0.003663,0.0341493,-0.174779,0.171555,-0.106802,0.00546441,-0.00148123
2265,0.149841,0.00122106,0.003663,0.0559347,-0.099164,0.150061,0.0341439,-0.0498789,0.0292615
2277,0.150873,0.00122106,0.003663,0.0970722,-0.0231116,0.13723,-0.0769905,-0.0565931,0.0637661
2289,0.150952,0.00122106,0.003663,0.0577657,-0.0929958,0.13722,0.0197277,-0.102407,0.0890177
2301,0.150952,0.00122106,0.003663,0.01131,-0.219972,0.162101,-0.0485904,-0.0589117,0.0633295
2313,0.151111,0.00122106,0.003663,-0.0653335,-0.48833,0.189526,-0.00269552,-0.0237877,0.0138904
2325,0.15119,0.00122106,0.003663,-0.0845522,-0.560526,0.199989,-0.0119201,0.0561223,-0.0592124
2337,0.15119,0.00122106,0.003663,-0.0589633,-0.466728,0.207138,0.0439081,0.0742049,-0.0796
2349,0.152063,0.00122106,0.003663,-0.0234232,-0.182077,0.186958,0.0328358,0.0524149,-0.046292
2361,0.152063,0.00122106,0.003663,-0.0116347,0.186275,0.136584,-0.0640305,0.00285733,0.00256643
2373,0.152063,0.00122106,0.003663,-0.0446114,0.346116,0.0915762,-0.0438298,-0.04225,0.0301911
2385,0.152143,0.00122106,0.003663,-0.0589095,0.450109,0.0688957,-0.137258,-0.0262101,0.0178903
2397,0.152222,0.00122106,0.003663,0.066473,0.411793,0.0706123,0.0121452,-0.0319246,0.00558966
2409,0.152222,0.00122106,0.003663,0.0916967,0.349614,0.0705368,-0.111362,-0.104303,0.108838
2421,0.152381,0.00122106,0.003663,0.149875,0.247478,0.0627593,-0.00479902,-0.112793,0.110013
2433,0.15246,0.00122106,0.003663,0.0738761,-0.0581805,0.102606,-0.0278816,-0.112793,0.112793
2445,0.15246,0.00122106,0.003663,0.00305159,-0.326952,0.147287,0.0218781,-0.0758542,0.0714087
2457,0.15246,0.00122106,0.003663,-0.00824018,-0.545938,0.183798,-0.016862,-0.00105834,0.00428887
2469,0.152619,0.00122106,0.003663,-0.0147053,-0.64804,0.219905,0.0267613,0.0188085,-0.0238487
2481,0.152619,0.00122106,0.003663,-0.0240441,-0.528669,0.221045,0.00717333,0.0330589,-0.0300198
2493,0.15373,0.00122106,0.003663,-0.0240299,-0.308558,0.209898,-0.0286104,0.0272374,-0.0277697
2505,0.15373,0.00122106,0.003663,-0.0425311,-0.101714,0.18245,-0.104618,0.00536049,-0.0121394
