TimeStamp,h_d,theta_d,v_d,psi_dot_d,theta_hat,theta_dot_hat,v_hat,psi_dot_hat,tau_RW,tau_LW
782,0.199683,-0.019572,-0.00695971,0.0230037,-0.0397519,-0.0254026,0.28818,0.0401213,-0.00867324,0.0123065
790,0.199683,-0.019572,-0.00695971,0.0230037,-0.0399262,-0.0239372,0.285312,-0.028291,-0.0162755,0.00379925
798,0.199683,-0.019572,-0.00695971,0.0230037,-0.0403995,-0.0309988,0.282396,-0.00462932,-0.0108277,0.00388548
806,0.199683,-0.019572,-0.00695971,0.0153358,-0.0405158,0.0286888,0.282991,0.0421788,-0.0165267,0.0226574
814,0.199683,-0.019572,-0.00695971,0.0153358,-0.040286,0.0290885,0.282071,0.0591536,-0.0148273,0.0249614
821,0.199683,-0.019572,-0.00695971,0.0153358,-0.040229,0.0242919,0.279825,0.0406355,-0.0157512,0.0215048
830,0.199683,-0.019572,-0.00695971,0.0153358,-0.0402441,-0.0126126,0.272151,0.0555526,-0.00519039,0.0143032
838,0.199683,-0.019572,-0.00695971,0.0153358,-0.0403618,-0.0206073,0.270749,0.0169741,-0.00767968,0.00767157
846,0.199683,-0.019572,-0.00695971,0.0153358,-0.0405448,-0.013679,0.267961,-0.0231469,-0.0130702,0.00363769
854,0.199683,-0.019572,-0.00695971,0.0153358,-0.0407826,0.0330855,0.265468,0.0411502,-0.0142812,0.0201784
862,0.199603,-0.019596,-0.00695971,0.0153358,-0.0404518,0.03988,0.265707,0.0277761,-0.0178454,0.0206273
870,0.199603,-0.0196017,-0.00695971,0.0153358,-0.0402338,0.0196296,0.257153,0.0174888,-0.0138868,0.0141647
878,0.199683,-0.0195802,-0.00695971,0.0230037,-0.0401041,0.0280226,0.258521,0.0401214,-0.0142316,0.0180706
886,0.199683,-0.0195756,-0.00695971,0.0230037,-0.0395988,0.0041751,0.259576,-0.0113172,-0.0163732,0.00800935
893,0.199683,-0.0195735,-0.00695971,0.0230037,-0.039421,0.0127012,0.253487,0.0061725,-0.0153496,0.0111415
902,0.199683,-0.0195727,-0.00695971,0.0230037,-0.0392236,0.0360164,0.257708,0.0267474,-0.0186888,0.0194268
910,0.199683,-0.0195723,-0.00695971,0.0230037,-0.0390703,0.015366,0.249062,0.0272615,-0.0132506,0.0140253
918,0.199683,-0.0195721,-0.00927961,0.0230037,-0.0390444,0.0237595,0.249164,0.0632684,-0.0111648,0.0204551
926,0.199683,-0.0195721,-0.00927961,0.0230037,-0.0387875,0.0308208,0.249487,0.0185173,-0.0183286,0.0171134
934,0.199603,-0.019596,-0.00927961,0.0153358,-0.0386586,0.020429,0.242659,-0.00102894,-0.0167407,0.0126864
942,0.199603,-0.0196018,-0.00927961,0.0153358,-0.0384693,0.0360171,0.245941,-0.0102874,-0.021854,0.0156876
950,0.199683,-0.0195802,-0.00927961,0.0230037,-0.0382858,-0.00834944,0.238422,-0.0236614,-0.0143006,0.0029974
958,0.199683,-0.0195756,-0.00927961,0.0230037,-0.0384055,0.0280222,0.237389,-0.0133739,-0.020156,0.0114226
965,0.199683,-0.0195735,-0.00927961,0.0230037,-0.0377917,0.0226933,0.236117,0.0113162,-0.0169277,0.013998
974,0.199683,-0.0195727,-0.00927961,0.0153358,-0.0377369,0.0406801,0.232107,0.00617252,-0.0197402,0.0174788
982,0.199683,-0.0195723,-0.00927961,0.0153358,-0.0373242,0.0366823,0.233715,-0.00720141,-0.0214106,0.015991
990,0.199683,-0.0195721,-0.00695971,0.0153358,-0.0371763,0.0254915,0.22645,-0.0318914,-0.0207075,0.00942756
998,0.199683,-0.0195721,-0.00695971,0.0153358,-0.0369667,0.0326858,0.22887,0.00823001,-0.0181841,0.0163871
1006,0.199683,-0.019572,-0.00695971,0.0153358,-0.0367334,0.0314865,0.223405,0.0118306,-0.0169993,0.0160482
1014,0.199683,-0.019572,-0.00695971,0.0153358,-0.0363781,0.0795835,0.226006,0.0138881,-0.0275669,0.0273052
