TimeStamp,h_d,theta_d,v_d,psi_dot_d,theta_hat,theta_dot_hat,v_hat,psi_dot_hat,tau_RW,tau_LW
2630,0.135079,0.0119906,1.08608,0.0536752,0.0664326,0.946678,0.196436,0.104933,-0.0467901,0.0629628
2646,0.135079,0.0119906,1.19048,0.0536752,0.0823162,1.02127,0.242462,0.124479,-0.0702285,0.0916227
2662,0.135079,0.0119906,1.21429,0.0536752,0.0949531,0.726521,0.252917,0.0601821,-0.041602,0.0465849
2678,0.135079,0.0119906,1.21429,0.0383394,0.10525,0.608107,0.238764,0.0673832,-0.0306664,0.0409005
2693,0.135079,0.0119906,1.21429,0.0383394,0.115495,0.772675,0.261957,0.13631,-0.0745108,0.102204
2710,0.135079,0.0119906,1.19048,0.0383394,0.127822,0.733224,0.324959,0.0606964,-0.116929,0.126295
2726,0.135079,0.0119906,1.15568,0.0383394,0.13518,0.313787,0.370471,0.120364,-0.0638256,0.0864794
2742,0.135079,0.0119906,1.15018,0.0383394,0.137356,0.0208261,0.372198,0.0766419,-0.0208167,0.0319196
2758,0.135079,0.0119906,1.15018,0.0383394,0.137862,0.173512,0.380737,0.0488659,-0.0549316,0.0597784
2774,0.135079,0.0119906,1.18681,0.0383394,0.141655,0.358843,0.435045,0.0550388,-0.0983901,0.105397
2790,0.135079,0.0119906,1.21612,0.0383394,0.146434,0.0910299,0.468394,0.11059,-0.0514143,0.0711445
2806,0.135079,0.0119906,1.24908,0.0383394,0.14666,-0.155834,0.453091,0.0576101,-0.00176051,0.00779682
2822,0.135079,0.0119906,1.27106,0.0383394,0.144383,0.108358,0.447317,0.0216036,-0.0442123,0.0423021
2837,0.135079,0.0119906,1.27106,0.0383394,0.14808,0.405213,0.485542,0.0596671,-0.108851,0.117223
2854,0.135079,0.0119906,1.27473,0.0383394,0.154024,0.183892,0.537319,0.101846,-0.0842359,0.102253
2870,0.135079,0.0119906,1.30037,0.0383394,0.153488,-0.163162,0.538288,0.019032,-0.0241849,0.0209185
2886,0.135079,0.0119906,1.32418,0.0383394,0.150416,-0.0456565,0.520234,-0.0488659,-0.0390887,0.0196279
2902,0.135079,0.0119906,1.32601,0.0383394,0.151043,0.315541,0.548129,0.102875,-0.0938291,0.11247
2918,0.135079,0.0119906,1.32601,0.0383394,0.15576,0.257844,0.594371,-0.0622395,-0.121867,0.100225
2934,0.135079,0.0119906,1.3315,0.0383394,0.157763,-0.136653,0.623597,0.0210897,-0.0484538,0.0458471
2950,0.135079,0.0119906,1.35897,0.0383394,0.154154,-0.261355,0.603737,0.0493797,-0.00523666,0.00904831
2966,0.135079,0.0119906,1.39011,0.0383394,0.152065,0.123679,0.617733,0.00720192,-0.0733275,0.0680861
2981,0.135079,0.0119906,1.39011,0.0383394,0.154449,0.275436,0.663027,0.101847,-0.104086,0.122407
2998,0.135079,0.0119906,1.39194,0.0383394,0.157136,-0.00835815,0.699963,0.047837,-0.0713755,0.0756849
3014,0.135079,0.0119906,1.39377,0.0383394,0.154653,-0.260683,0.676608,0.00668695,-0.02029,0.0137305
3030,0.135079,0.0119906,1.39194,0.0383394,0.151397,0.0208223,0.689678,0.0601822,-0.06345,0.0707704
3046,0.135079,0.0119906,1.39011,0.0383394,0.152859,0.20216,0.731485,0.0720132,-0.107786,0.118601
3062,0.135079,0.0119906,1.38828,0.0383394,0.153597,-0.00995117,0.774567,0.01646,-0.0874946,0.0841263
3078,0.135079,0.0119906,1.38462,0.0383394,0.149903,-0.287461,0.75236,0.0920729,-0.0172078,0.0312827
3094,0.135079,0.0119906,1.38462,0.0383394,0.146246,-0.0953538,0.756924,-0.022118,-0.0613132,0.0481708
3110,0.135079,0.0119906,1.38462,0.0383394,0.14554,0.159524,0.80014,0.0864153,-0.103717,0.117804
3125,0.135079,0.0119906,1.38462,0.0383394,0.147711,-0.00755827,0.841741,-0.00565718,-0.0976523,0.0888361
3142,0.135079,0.0119906,1.42125,0.0383394,0.144888,-0.355004,0.844137,0.102361,-0.00838181,0.0246776
3158,0.135079,0.0119906,1.45055,0.0383394,0.139104,-0.217529,0.816206,-0.0648115,-0.0309702,0.00693803
3174,0.135079,0.0119906,1.47985,0.0383394,0.136835,0.182968,0.836194,0.0293195,-0.0868742,0.0870037
3190,0.135079,0.0119906,1.48535,0.0383394,0.138364,0.112233,0.870356,0.0864151,-0.0762235,0.0900448
3206,0.135079,0.0119906,1.48535,0.0536752,0.137361,0.273437,0.958976,-0.363145,-0.181321,0.0825487
3222,0.135079,0.0119906,1.43223,0.0383394,0.14554,-0.00089215,0.956613,-0.00257391,-0.110739,0.102675
3238,0.135079,0.0119906,1.36996,0.0536752,0.143135,-0.522223,0.88073,0.274162,0.0234327,0.0303836
3254,0.135079,0.0119906,1.3315,0.0536752,0.13505,-0.298286,0.87229,0.0797279,-0.0349993,0.0421157
3269,0.135079,0.0119906,1.3315,0.0536752,0.133757,0.114362,0.939346,0.111105,-0.120255,0.136332
3286,0.135079,0.0119906,1.27839,0.0383394,0.135776,0.0302887,1.05264,0.417161,-0.108181,0.202246
3302,0.135079,0.0119906,1.25275,0.0383394,0.132213,-0.586675,1.09908,0.0195462,-0.0547898,0.0500775
3318,0.135079,0.0119906,1.22527,0.0383394,0.121169,-0.970774,1.03719,-0.0668708,0.0309974,-0.0581471
3334,0.135079,0.0119906,1.22344,0.0383394,0.10676,-0.510379,1.00142,0.222725,0.0134356,0.0311446
3350,0.135079,0.0119906,1.22344,0.0383394,0.101126,0.0653131,1.03379,0.0159456,-0.115347,0.111397
3366,0.135079,0.0119906,1.22527,0.0383394,0.102572,-0.0415209,1.10184,-0.0231465,-0.118455,0.104682
3382,0.135079,0.0119906,1.22527,0.0383394,0.098746,-0.497156,1.11727,0.0838426,-0.0195494,0.0302824
3398,0.135079,0.0119906,1.22344,0.0383394,0.0891453,-0.619998,1.06636,-0.0817859,0.00994524,-0.0400604
3413,0.135079,0.0119906,1.22344,0.0383394,0.0820334,-0.11735,1.0525,0.0432077,-0.0519327,0.0537458
3430,0.135079,0.0119906,1.22161,0.0383394,0.0831263,0.172852,1.09252,-0.0483517,-0.127708,0.108205
3446,0.135079,0.0119906,1.22344,0.0383394,0.0839568,-0.2118,1.1334,-0.100307,-0.0742119,0.0408442
3462,0.135079,0.0119906,1.24542,0.0306715,0.078782,-0.493289,1.12514,-0.0313752,0.00207752,-0.017799
3478,0.135079,0.0119906,1.26923,0.0306715,0.0714399,-0.352232,1.0864,0.131166,0.0226667,0.00149565
3494,0.135079,0.0119906,1.26923,0.0306715,0.0692243,0.238392,1.10657,-0.0190321,-0.104678,0.0941739
3510,0.135079,0.0119906,1.27106,0.0306715,0.0735359,0.0802482,1.14553,0.0524688,-0.0828156,0.0892684
3526,0.135079,0.0119906,1.30037,0.0306715,0.0722105,-0.28307,1.14102,-0.0673834,-0.0208579,-0.00305063
3542,0.135079,0.0119906,1.30037,0.0306715,0.0668704,-0.223112,1.11455,-0.0082304,-0.00972748,0.00032128
