TimeStamp,h_d,v_d,psi_dot_d,theta_hat,theta_dot_hat,v_hat,psi_dot_hat,tau_RW,tau_LW
2025,0.138175,0.00122106,0.00549451,0.0664478,0.223291,0.0928318,-0.0370072,-0.100703,0.0934305
2037,0.138175,0.00122106,0.003663,0.0577494,0.0604149,0.110328,-0.00771986,-0.0843069,0.0785196
2049,0.138175,0.00122106,0.003663,0.0164657,-0.146186,0.133812,-0.0784762,-0.0636774,0.0629797
2061,0.138175,0.00122106,0.003663,-0.00110972,-0.325199,0.160064,-0.0669001,-0.0271859,0.0115926
2073,0.138175,0.00122106,0.003663,-0.0440041,-0.4107,0.177492,-0.0259492,-0.00164984,-0.0124501
2085,0.138175,0.00122106,0.003663,-0.0553469,-0.315337,0.180777,-0.00399125,0.0374027,-0.0444871
2097,0.138175,0.00122106,0.003663,0.0170792,-0.11357,0.180195,0.00894512,0.0391926,-0.0419321
2109,0.138175,0.00122106,0.00549451,0.0482736,0.111475,0.156137,-0.0300912,-0.0264859,0.0276457
2121,0.138175,0.00122106,0.00549451,0.0604738,0.306945,0.113861,-0.0228895,-0.0681383,0.0628523
2133,0.138175,0.00122106,0.00549451,0.0245794,0.230495,0.0920628,0.0473963,-0.0879302,0.0847084
2145,0.138175,0.00122106,0.00549451,0.0459981,0.029417,0.104641,0.0250849,-0.0478098,0.0573317
2157,0.138175,0.00122106,0.00549451,0.0235425,-0.141775,0.136801,0.0183832,-0.0494157,0.0544157
2169,0.138175,0.00122106,0.00549451,-0.0404773,-0.261758,0.146957,0.0251107,-0.0234983,0.0264138
2181,0.138175,0.00122106,0.00549451,-0.0916689,-0.286021,0.163053,0.086823,0.0304072,-0.0275503
2193,0.138175,0.00122106,0.00549451,-0.0529376,-0.220628,0.178672,0.113225,0.0722928,-0.0583659
2205,0.138175,0.00122106,0.00549451,-0.0224635,0.00848661,0.162909,0.00736523,0.0411251,-0.0212449
2217,0.138175,0.00122106,0.00549451,-0.0194843,0.338854,0.114962,-0.0423166,-0.0076691,0.00819976
2229,0.138175,0.00122106,0.00549451,0.0082113,0.510668,0.0728596,-0.0660081,-0.0372048,0.0290284
2241,0.138175,0.00122106,0.00549451,0.0386274,0.537039,0.0595567,-0.0142035,-0.0687916,0.0568881
2253,0.138175,0.00122106,0.00732601,0.0533719,0.475766,0.0535537,-0.0359431,-0.085877,0.0841761
2265,0.138175,0.00122106,0.00732601,0.0360589,0.28961,0.0646247,-0.0454211,-0.0925537,0.0866977
2277,0.138175,0.00122106,0.0347985,0.0152739,0.0346882,0.087083,-0.0270747,-0.0698543,0.0560596
2289,0.138175,0.00122106,0.03663,0.00868645,-0.113452,0.12366,0.0493545,-0.0349752,0.0233499
2301,0.138175,0.00122106,0.03663,0.0147746,-0.211626,0.146776,0.0948809,-0.014293,0.0169904
2313,0.138175,0.00122106,0.0384615,0.0519355,-0.138896,0.156982,0.0658704,-0.00839146,0.0194022
2325,0.138175,0.00122106,0.0659341,0.0539626,-0.107107,0.158084,0.0790882,-0.0466134,0.0475345
2337,0.138175,0.00122106,0.0659341,-0.00579407,-0.0943863,0.151745,0.0918743,-0.0494651,0.0530689
2349,0.138175,0.00122106,0.0915751,0.0203128,-0.15899,0.160105,0.0799203,-0.0097786,0.0099541
2361,0.138175,0.00122106,0.122711,0.0166036,-0.234971,0.166954,0.0924706,-0.027518,0.0196146
2373,0.138175,0.00122106,0.122711,0.0404949,-0.174355,0.161607,0.0229852,-0.0181163,0.0123751
2385,0.138175,0.00122106,0.124542,0.0170078,-0.150173,0.161451,0.107042,-0.0460824,0.0271005
2397,0.138175,0.00122106,0.150183,-0.039409,-0.144582,0.15789,0.109711,-0.0261232,0.0181268
2409,0.138175,0.00122106,0.150183,-0.00018883,-0.15049,0.164077,0.0811288,0.01308,-0.0214636
2421,0.138175,0.00122106,0.18315,-0.00621623,-0.118031,0.167222,0.14852,-0.0201724,0.00051724
2433,0.138175,0.00122106,0.203297,-0.0707692,-0.0329705,0.139813,0.0633166,-0.0143919,0.00387538
2445,0.138175,0.00122106,0.203297,-0.0847549,0.0602021,0.126948,0.216733,0.0176477,-0.0454961
2457,0.138175,0.00122106,0.203297,0.00558724,0.165384,0.128303,0.216679,0.0358017,-0.0339687
